기관명,기관분류,의료기관분류,응급의료 권역,우편번호,시도,시군구,주소,dutyEmcls,dutyEmclsName,dutyName,dutyTel1,dutyTel3,hpid,phpid,rnum,위도,경도,dgidIdName,dutyEryn,dutyHano,dutyHayn,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpbdn,hperyn,hpgryn,hpnicuyn,hpopyn,hvec,hvgc,hvncc,hvoc,MKioskTy1,MKioskTy10,MKioskTy11,MKioskTy2,MKioskTy25,MKioskTy3,MKioskTy4,MKioskTy5,MKioskTy6,MKioskTy7,MKioskTy8,MKioskTy9,postCdn1,postCdn2,hpccuyn,hpcuyn,hvcc,hvccc,dutyInf,dutyMapimg,hpicuyn,hvicc,dutyTime7c,dutyTime7s,dutyTime8c,dutyTime8s
아주대학교병원,상급종합병원,권역응급의료센터,경기서남,16499,경기,수원시,경기도 수원시 영통구 월드컵로 164 (원천동),G001,권역응급의료센터,아주대학교병원,031-219-5114,031-219-7777,A2100002,A2100002,5,37.2794477573662,127.04752107106702,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,소아치과,신경과,신경외과,안과,영상의학과,예방의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과교정과,치과보존과,치과보철과,치주과,피부과,핵의학과,흉부외과",1,1162,1,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,,,1187,39,840,36,25,37,298,1,16,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,164,99,11,6,3,4,,아주대학교 옆,,,,,,
양산부산대학교병원,상급종합병원,권역응급의료센터,부산,50612,경남,양산시,경상남도 양산시 물금읍 금오로 20,G001,권역응급의료센터,양산부산대학교병원,055-360-1000,055-360-1463,A2800011,A2800011,3,35.32781996751182,129.00588613550423,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과,피부과,핵의학과,흉부외과",1,1200,1,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,1209,39,982,38,25,19,462,5,16,Y,Y,N1,N1,N1,Y,Y,Y,N1,N1,N1,N1,506,12,10,,,6,야간 ☎055-360-1155 / 어린이병원 / 외국인 통역가능/소아전문응급의료센터,,,,,,,
연세대학교원주세브란스기독병원,상급종합병원,권역응급의료센터,원주충주,26426,강원,원주시,강원특별자치도 원주시 일산로 20 (일산동),G001,권역응급의료센터,연세대학교원주세브란스기독병원,033-741-0114,033-741-1641,A2200001,A2200001,2,37.34795543031888,127.9456453098751,"가정의학과,구강악안면외과,내과,마취통증의학과,방사선종양학과,병리과,비뇨기과,산부인과,성형외과,소아청소년과,소아치과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과교정과,치과보존과,치과보철과,피부과,핵의학과,흉부외과",1,866,1,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,866,37,653,25,15,31,187,5,1,Y,Y,Y,N1,Y,N,N,N,N,Y,Y,Y,264,26,,,,,,,,,,,,
영남대학교병원,상급종합병원,권역응급의료센터,대구,42415,대구,남구,대구광역시 남구 현충로 170 (대명동),G001,권역응급의료센터,영남대학교병원,053-623-8001,053-620-3177,A1300001,A1300001,4,35.84750592025217,128.58513118547506,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,비뇨기과,산부인과,산업의학과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,예방의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과,치료방사선과,피부과,해부병리과,핵의학과,흉부외과",1,952,1,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,,,975,30,847,9,19,17,358,1,16,N1,N,N1,Y,Y,Y,Y,Y,Y,N,N1,N,424,15,,,,,,,,,,,,
원광대학교병원,상급종합병원,권역응급의료센터,전북익산,54538,전북,익산시,전북특별자치도 익산시 무왕로 895 (신동),G001,권역응급의료센터,원광대학교병원,063-859-1114,063-859-1165,A2500001,A2500001,1,35.9642419612473,126.959306346821,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과,피부과,핵의학과,흉부외과",1,793,1,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,,,795,35,662,20,15,19,205,3,9,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,545,38,,,,,,,,,,,,
의료법인길의료재단길병원,상급종합병원,권역응급의료센터,인천,21565,인천,남동구,"인천광역시 남동구 남동대로774번길 21 (구월동, 가천대학교길병원)",G001,권역응급의료센터,의료법인길의료재단길병원,032-460-3548,032-460-3012,A1400001,A1400001,1,37.45208024654252,126.70916173607195,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과교정과,치과보존과,치과보철과,치주과,피부과,핵의학과,흉부외과",1,1367,1,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1200,0830,1450,31,1157,30,28,21,473,4,12,Y,N1,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,215,65,4,,,2,,길병원 사거리 인근,,,,,,
이화여자대학교의과대학부속목동병원,상급종합병원,권역응급의료센터,서울서남,7985,서울,양천구,서울특별시 양천구 안양천로 1071 (목동),G001,권역응급의료센터,이화여자대학교의과대학부속목동병원,02-2650-5114,02-2650-5911,A1100005,A1100005,2,37.53654282637804,126.8862159683056,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,소아치과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과교정과,치과보존과,치과보철과,치주과,피부과,핵의학과,흉부외과",1,653,1,1730,0800,1730,0800,1730,0800,1730,0800,1730,0800,1200,0900,779,28,520,11,13,30,98,2,3,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,079,85,,,,,평일 외래진료시간 진료과목별 차이운영,"당산역, 영등포구청역, 오목교역에서 셔틀버스 이용",,,,,,
인하대학교의과대학부속병원,상급종합병원,권역응급의료센터,인천,22332,인천,중구,인천광역시 중구 인항로 27 (신흥동3가),G001,권역응급의료센터,인하대학교의과대학부속병원,032-890-2114,032-890-2301,A1400002,A1400002,2,37.4584235016321,126.631868269228,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과교정과,치과보존과,치과보철과,피부과,핵의학과,흉부외과",1,908,1,1630,0800,1630,0800,1630,0800,1630,0800,1630,0800,1130,0800,925,24,786,27,16,19,273,19,6,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,223,32,,,,,인천국제공항의료센터 응급진료(032-743-3119)- 치과는 통증진료만가능/공항내약국(삼일약국743-3399)20시까지 개문/약국 개폐시 1일분 약을 응급실에서,여객터미널 지하1층 5게이트 외환은행 옆,,3,,,,
전남대학교병원,상급종합병원,권역응급의료센터,광주,61469,광주,동구,광주광역시 동구 제봉로 42 (학동),G001,권역응급의료센터,전남대학교병원,1899-0000,062-220-6801,A1500002,A1500002,1,35.141852541291165,126.92158688926376,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,피부과,핵의학과,흉부외과",1,1077,1,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,1085,32,813,45,21,14,374,2,10,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,614,69,,9,1,,,,8,3,,,,
전북대학교병원,상급종합병원,권역응급의료센터,전북전주,54907,전북,전주시,전북특별자치도 전주시 덕진구 건지로 20 (금암동),G001,권역응급의료센터,전북대학교병원,063-250-1114,063-250-1131,A2500002,A2500002,5,35.84697279303408,127.1393674038135,"가정의학과,구강내과,구강악안면방사선과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,소아치과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,진단검사의학과,치과교정과,치과보존과,치과보철과,치주과,피부과,핵의학과,흉부외과",1,1157,1,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,1115,41,956,25,22,38,432,2,15,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,549,07,,,,,,,,,,,,
조선대학교병원,상급종합병원,권역응급의료센터,광주,501717,광주,동구,광주광역시 동구 필문대로 365 (서석동),G001,권역응급의료센터,조선대학교병원,1811-7474,062-220-3280,A1500001,A1500001,2,35.13854706991291,126.92683853357782,"가정의학과,결핵과,내과,마취통증의학과,방사선종양학과,병리과,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,피부과,핵의학과,흉부외과",1,849,1,1700,0800,1700,0800,1700,0800,1700,0800,1700,0800,,,849,27,849,20,15,17,197,12,3,N,N,Y,Y,N1,Y,Y,N,N1,Y,N,Y,501,717,,,,,,,,,,,,
충남대학교병원,상급종합병원,권역응급의료센터,대전,35015,대전,중구,"대전광역시 중구 문화로 282 (대사동, 충남대학교병원)",G001,권역응급의료센터,충남대학교병원,1599-7123,042-280-8129,A1600001,A1600001,2,36.31696055071064,127.41546133417684,"가정의학과,구강내과,구강병리과,구강악안면방사선과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,소아치과,신경과,신경외과,안과,영상의학과,예방의학과,예방치과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,진단검사의학과,치과교정과,치과보존과,치과보철과,치주과,피부과,핵의학과,흉부외과",1,1289,1,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,1316,34,1171,34,18,11,283,13,8,Y,N,Y,N,N,Y,Y,Y,N,N,Y,Y,350,15,,,,,"*토요일 진료과 : 류마티스내과, 일반내과, 성형외과, 피부과 (09:00~13:00) , 응급실 042-280-8129",,,3,,,,
충북대학교병원,상급종합병원,권역응급의료센터,충북청주,28644,충북,청주시,"충청북도 청주시 서원구 1순환로 776-0 (개신동,충북대학교병원)",G001,권역응급의료센터,충북대학교병원,043-269-6114,043-269-6114,A2300001,A2300001,9,36.624166824834546,127.4614360502226,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과보철과,치주과,피부과,핵의학과,흉부외과",1,804,1,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,,,806,38,560,25,13,29,326,18,8,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,286,44,,4,2,,외국인환자유치사업 등록유치기관,,21,4,,,,
학교법인건양교육재단건양대학교병원,상급종합병원,권역응급의료센터,대전,35365,대전,서구,"대전광역시 서구 관저동로 158, 건양대학교병원 (관저동)",G001,권역응급의료센터,학교법인건양교육재단건양대학교병원,1577-3330,042-600-9119,A1600006,A1600006,2,36.306711701457246,127.34263046359918,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,진단검사의학과,치과,피부과,핵의학과,흉부외과",1,839,1,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,836,32,707,24,16,24,215,4,15,Y,Y,Y,Y,N1,Y,Y,Y,Y,Y,Y,Y,353,65,,,,,"예약콜센터: 1577-3330// 응급실 042-600-9119
상급종합병원 지정으로 외래 진료는 소견서가 필요합니다.",,26,17,,,,
학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),상급종합병원,권역응급의료센터,서울동북,2841,서울,성북구,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",G001,권역응급의료센터,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),1577-0083,02-920-5374,A1100008,A1100008,1,37.58715608002366,127.02647086385966,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,진단검사의학과,치과교정과,치과보존과,치과보철과,치주과,피부과,핵의학과,흉부외과",1,970,1,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,,,1048,32,837,17,22,22,194,-2,8,Y,Y,N1,Y,N1,Y,Y,Y,Y,Y,N1,Y,028,41,,,,,,지하철 6호선 안암역 하차 후 1번출구 도보 500m,,,,,,
학교법인성균관대학삼성창원병원,상급종합병원,권역응급의료센터,경남창원,51353,경남,창원시,"경상남도 창원시 마산회원구 팔용로 158 (합성동, 삼성창원병원)",G001,권역응급의료센터,학교법인성균관대학삼성창원병원,055-233-8899,055-233-6119,A2800020,A2800020,10,35.242599227316994,128.592430520838,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과,피부과,핵의학과,흉부외과",1,750,1,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1200,0900,744,35,627,24,15,21,279,2,9,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,513,53,,,,,경남 권역응급의료센터,,,,,,,
학교법인울산공업학원울산대학교병원,상급종합병원,권역응급의료센터,울산,44033,울산,동구,"울산광역시 동구 대학병원로 25, 울산대학교병원 (전하동)",G001,권역응급의료센터,학교법인울산공업학원울산대학교병원,052-250-7000,052-250-7000,A1700004,A1700004,1,35.5200593154,129.4288047478,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,예방의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과보존과,치과보철과,치주과,피부과,핵의학과,흉부외과",1,979,1,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,,,966,31,766,26,19,14,257,1,11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,440,33,2,,,1,,,,0,,,,
한림대학교성심병원,상급종합병원,권역응급의료센터,경기서남,14068,경기,안양시,경기도 안양시 동안구 관평로170번길 22 (평촌동),G001,권역응급의료센터,한림대학교성심병원,031-380-1500,031-380-1000,A2100004,A2100004,2,37.3916511961,126.9619708207,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,소아치과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,진단검사의학과,치과,치과교정과,치과보존과,치과보철과,피부과,핵의학과,흉부외과",1,780,1,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1200,0900,836,32,688,12,19,22,250,9,12,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,140,68,8,7,6,4,,,,,,,,
한양대학교병원,상급종합병원,권역응급의료센터,서울동남,4763,서울,성동구,서울특별시 성동구 왕십리로 222-1 (사근동),G001,권역응급의료센터,한양대학교병원,02-2290-8114,02-2290-8284,A1100013,A1100013,2,37.559944533564746,127.04488284061982,"가정의학과,결핵과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과교정과,치과보존과,치과보철과,치주과,피부과,핵의학과,흉부외과",1,794,1,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,846,32,684,20,16,10,325,4,12,Y,Y,Y,Y,N1,Y,Y,Y,Y,Y,Y,Y,047,63,,,,,,"한양대역 1번 출구
왕십리역:6번,13번 출구->650M(도보10분)
왕십리역:6-1번 출구->셔틀버스2,3,4호차 이용",,,,,,
가톨릭대학교인천성모병원,상급종합병원,지역응급의료센터,인천,21431,인천,부평구,인천광역시 부평구 동수로 56 (부평동),G006,지역응급의료센터,가톨릭대학교인천성모병원,032-280-6364,032-280-6107,A1400012,A1400012,1,37.4845586499062,126.724708130675,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,보건진료소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,진단검사의학과,치주과,피부과,핵의학과,흉부외과",1,789,1,1700,0830,1700,0830,1700,0830,1700,0830,1700,0830,1200,0830,846,25,719,11,17,13,250,1,11,Y,Y,Y,Y,N1,Y,Y,Y,Y,Y,Y,Y,214,31,,,,,"병상수821(응급36,중환자51,일반731) / 혈액투석, 체외충격파쇄석술, 재관류, 알콜중독, 정신과진료는 본원외래 내원하시는 분만 가능.",동수역2번출구 하차 후 도보10분,,,,,,
